"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope","max","min","incr","double","state"
19,"22/03","Australian Capital Territory","Australia","-35.4735","149.0124",51,0,0,0,1,1,0,"Inf","ACT"
62,"27/03","Australian Capital Territory","Australia","-35.4735","149.0124",56,5,0,0,1,1,0,"Inf","ACT"
84,"01/04","Australian Capital Territory","Australia","-35.4735","149.0124",61,10,3.62037569012901,0.0889896442774037,169.558778555275,48.7811819621803,0.0930693367448892,"7.78907687729627","ACT"
96,"06/04","Australian Capital Territory","Australia","-35.4735","149.0124",66,15,4.10746504269873,0.0320518264008185,123.051777676774,78.5613347346666,0.0325710183578829,"21.6258247468308","ACT"
103,"11/04","Australian Capital Territory","Australia","-35.4735","149.0124",71,20,4.34699236444476,0.0145434986274415,114.396081688639,93.3221836620607,0.0146497698638106,"47.6602775106723","ACT"
103,"16/04","Australian Capital Territory","Australia","-35.4735","149.0124",76,25,4.57990641462454,0.00232289395000123,105.029264518436,101.668600159886,0.00232559395835907,"298.398116952166","ACT"
104,"21/04","Australian Capital Territory","Australia","-35.4735","149.0124",81,30,4.60048261692471,0.00138360715862714,104.76042555216,102.750691324546,0.00138456478462023,"500.971085786887","ACT"
106,"26/04","Australian Capital Territory","Australia","-35.4735","149.0124",86,35,4.52713613617689,0.00387338261679932,108.833392760059,103.088809970853,0.00388089385808676,"178.951384134808","ACT"
106,"01/05","Australian Capital Territory","Australia","-35.4735","149.0124",91,40,4.63352866055633,0.000787092224431279,106.753452670643,105.583562811506,0.000787402062801368,"880.642901866786","ACT"
107,"06/05","Australian Capital Territory","Australia","-35.4735","149.0124",96,45,4.59729703763218,0.00167870245572445,108.265827138839,105.751048307413,0.00168011226546527,"412.906514907559","ACT"
107,"11/05","Australian Capital Territory","Australia","-35.4735","149.0124",101,50,4.67282883446202,-4.62587532177361e-16,107.00000000001,107.000000000011,-4.44089209850063e-16,"---","ACT"
107,"16/05","Australian Capital Territory","Australia","-35.4735","149.0124",106,55,4.67282883446199,1.85035012870946e-16,107.00000000001,107.00000000001,2.22044604925031e-16,"3746032547058453","ACT"
107,"21/05","Australian Capital Territory","Australia","-35.4735","149.0124",111,60,4.67282883446201,-9.13551967043688e-17,107.00000000001,107.00000000001,-1.11022302462516e-16,"---","ACT"
107,"26/05","Australian Capital Territory","Australia","-35.4735","149.0124",116,65,4.67282883446198,3.81294281407922e-16,107.000000000011,107.00000000001,4.44089209850063e-16,"1817879822378955","ACT"
107,"31/05","Australian Capital Territory","Australia","-35.4735","149.0124",121,70,4.67282883446201,-7.5000257659621e-17,107.00000000001,107.00000000001,-1.11022302462516e-16,"---","ACT"
107,"05/06","Australian Capital Territory","Australia","-35.4735","149.0124",126,75,4.67282883446201,-1.47194451402734e-16,107.00000000001,107.00000000001,-1.11022302462516e-16,"---","ACT"
108,"10/06","Australian Capital Territory","Australia","-35.4735","149.0124",131,80,4.55171653737602,0.00165920521382426,109.515642285737,107.001036142008,0.00166058245639911,"417.758559812096","ACT"
108,"15/06","Australian Capital Territory","Australia","-35.4735","149.0124",136,85,4.68213122712429,2.62778563708604e-16,108.00000000001,108.00000000001,2.22044604925031e-16,"2637761508311530","ACT"
108,"20/06","Australian Capital Territory","Australia","-35.4735","149.0124",141,90,4.6821312271243,1.30232365696289e-16,108.00000000001,108.00000000001,2.22044604925031e-16,"5322388001277755","ACT"
